artist,title,startTime
AWOLNATION,SAIL,09 Sep 2022 00:02:26
THE KILLERS,BOY,09 Sep 2022 00:06:21
FOO FIGHTERS,EVERLONG (ACOUSTIC),09 Sep 2022 00:09:38
MANESKIN,BEGGIN,09 Sep 2022 00:14:05
EVERLAST,WHAT IT'S LIKE,09 Sep 2022 00:17:56
DEATH CAB FOR CUTIE,HERE TO FOREVER,09 Sep 2022 00:22:47
AFI,MISS MURDER,09 Sep 2022 00:29:58
TAME IMPALA,THE LESS I KNOW THE BETTER,09 Sep 2022 00:33:30
COLLECTIVE SOUL,SHINE,09 Sep 2022 00:37:06
GLASS ANIMALS,HEAT WAVES,09 Sep 2022 00:42:14
AJR,BANG!,09 Sep 2022 00:46:19
PANIC! AT THE DISCO,DON'T LET THE LIGHT GO OUT,09 Sep 2022 00:49:14
FALL OUT BOY,"SUGAR, WE'RE GOING DOWN",09 Sep 2022 00:57:07
FUN.,WE ARE YOUNG,09 Sep 2022 01:00:51
GIOVANNIE AND THE HIRED GUNS,RAMONE AYALA,09 Sep 2022 01:04:40
OF MONSTERS AND MEN,ALLIGATOR,09 Sep 2022 01:07:32
BOYWITHUKE,TOXIC,09 Sep 2022 01:10:41
GREEN DAY,HOLIDAY,09 Sep 2022 01:13:37
IMAGINE DRAGONS,BONES,09 Sep 2022 01:17:31
THE STROKES,LAST NITE,09 Sep 2022 01:24:39
RED HOT CHILLI PEPPERS,BLACK SUMMER,09 Sep 2022 01:28:02
WEEZER,UNDONE-THE SWEATER SONG,09 Sep 2022 01:31:55
MACHINE GUN KELLY,BLOODY VALENTINE,09 Sep 2022 01:36:23
ARTIC MONKEYS,DO I WANNA KNOW,09 Sep 2022 01:39:57
DIRTY HEADS,LIFE'S BEEN GOOD,09 Sep 2022 01:44:29
FRANZ FERDINAND,TAKE ME OUT,09 Sep 2022 01:51:33
LUMINEERS,WHERE WE ARE,09 Sep 2022 01:55:28
THE BLACK KEYS,HOWLIN FOR YOU,09 Sep 2022 01:58:39
DEATH CAB  FOR CUTIE,SOUL MEETS BODY,09 Sep 2022 02:01:55
CAFUNE,TEK IT,09 Sep 2022 02:05:28
NIRVANA,COME AS YOU ARE,09 Sep 2022 02:08:35
KATE BUSH,RUNNING UP THAT HILL,09 Sep 2022 02:12:08
PHOENIX,LISZTOMANIA,09 Sep 2022 02:17:06
THE 1975,PART OF THE BAND,09 Sep 2022 02:21:07
KINGS OF LEON,USE SOMEBODY,09 Sep 2022 02:25:06
IMAGINE DRAGONS,FOLLOW YOU,09 Sep 2022 02:28:56
BLINK-182,THE ROCK SHOW,09 Sep 2022 02:31:54
VANCE JOY,CLARITY,09 Sep 2022 02:34:36
NATHANIEL RATELIFF & THE NIGH,s.o.b.,09 Sep 2022 02:38:05
MANESKIN,SUPERMODEL,09 Sep 2022 02:45:33
SHAED,TRAMPOLINE,09 Sep 2022 02:48:00
FALLING IN REVERSE,VOICES IN MY HEAD,09 Sep 2022 02:51:09
ALL AMERICAN REJECTS,GIVES YOU HELL,09 Sep 2022 02:54:35
COLDPLAY,MY UNIVERSE,09 Sep 2022 02:57:59
PARAMORE,DECODE,09 Sep 2022 03:01:18
RED HOT CHILI PEPPERS,TIPPA MY TONGUE,09 Sep 2022 03:05:35
